이름,8시간 미만,8시간,9시간,10시간,11시간 이상,야근 없음,야근 1일 미만,야근 1일,야근 2일,야근 3일 이상,주말 근무 없음,주말 근무 1일 미만,주말 근무 1일,주말 근무 2일,주말 근무 3일 이상,휴가 0-7일,휴가 8-14일,휴가 15-21일,휴가 22-29일,휴가 30일 이상,업무일정 조정 자유,업무일정 조정 상황따라,업무일정 조정 눈치,업무일정 조정 제한적,업무일정 조정 어려움,원격 자유,원격 별도 신청,원격 눈치,원격 제한적,원격 어려움
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민건강보험공단,12,72,9,2,2,45,23,14,10,6,83,7,5,3,0,23,47,27,1,0,17,54,9,11,6,3,15,16,21,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을금고,4,24,43,20,7,27,28,15,13,14,67,10,11,6,4,70,25,4,0,0,2,6,15,21,54,0,1,1,6,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
근로복지공단,9,74,10,4,0,54,21,9,7,6,69,12,9,6,1,21,45,29,3,0,16,52,12,10,7,11,35,11,21,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농협은행(주),15,32,35,13,3,38,17,14,20,9,84,4,7,2,1,41,39,18,0,1,8,21,25,29,15,2,4,10,11,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대카드(주),2,32,44,13,6,27,10,22,21,17,72,10,12,1,3,18,34,37,8,0,13,43,20,11,11,5,22,16,22,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소기업은행,3,28,43,23,1,17,28,21,18,14,73,14,4,4,3,23,50,25,1,0,4,31,23,17,23,1,7,7,9,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대캐피탈(주),10,49,28,12,0,40,22,10,15,10,91,3,3,1,0,19,35,39,3,1,15,38,19,14,12,14,33,7,14,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민연금공단,21,64,10,3,0,46,28,18,4,1,85,7,1,4,0,20,42,34,1,1,26,48,7,9,7,6,26,12,28,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민연금공단,21,64,10,3,0,46,28,18,4,1,85,7,1,4,0,20,42,34,1,1,26,48,7,9,7,6,26,12,28,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민은행(주),14,29,44,9,1,24,16,16,27,14,78,9,3,6,1,19,55,16,4,3,8,31,27,24,8,1,19,14,14,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성생명보험(주),9,27,41,16,5,19,19,27,19,15,63,16,5,4,10,26,38,32,2,0,16,36,26,13,6,8,19,20,17,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한은행(주),9,45,29,9,5,42,22,12,14,10,84,5,7,0,1,7,70,21,0,0,3,33,21,17,23,0,7,9,21,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우리은행(주),3,11,41,28,15,7,13,11,37,30,84,9,3,0,1,24,64,9,1,0,3,22,24,15,33,0,5,1,13,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신용보증기금,11,47,23,14,2,14,11,29,38,5,79,8,5,2,2,20,32,41,5,0,23,50,17,5,2,11,23,11,23,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국스탠다드차타드은행(주),2,36,23,18,18,21,7,10,28,31,71,7,13,2,5,18,18,50,7,5,2,42,13,18,23,2,15,7,18,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화생명보험(주),10,43,31,7,7,36,24,12,13,13,58,17,12,6,5,20,22,51,1,3,24,34,22,8,10,8,20,24,15,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나은행(주),2,46,32,16,4,36,18,10,20,16,86,6,2,0,6,12,34,54,0,0,6,26,20,12,34,0,10,14,10,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성화재해상보험(주),2,43,38,12,2,23,30,23,20,2,71,15,7,5,0,23,58,17,0,0,7,28,25,23,15,5,15,17,25,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB손해보험(주),10,34,31,18,5,28,15,13,21,21,64,10,8,13,2,29,48,21,0,0,5,31,31,18,13,13,5,15,28,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웰컴저축은행(주),0,16,32,33,16,9,10,9,27,43,64,13,7,9,4,55,27,15,1,0,3,15,23,16,41,1,7,12,16,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교보생명보험(주),3,34,43,12,6,40,9,18,25,6,78,9,6,6,0,9,46,43,0,0,9,25,18,21,25,0,12,0,15,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메리츠화재해상보험(주),4,39,30,18,6,32,20,16,11,18,58,20,6,2,11,30,48,16,4,0,11,23,18,20,25,13,18,9,16,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
롯데카드(주),21,46,12,12,6,31,12,21,25,9,56,12,9,6,15,15,53,28,3,0,9,53,12,12,12,0,15,21,31,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국투자증권(주),0,32,24,32,12,12,12,12,24,40,68,16,4,8,4,68,20,12,0,0,8,20,16,16,40,4,8,8,40,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국산업은행,4,43,43,4,4,33,9,19,28,9,60,13,4,8,13,26,52,17,0,4,4,59,18,0,18,4,34,8,13,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성카드(주),0,46,34,15,3,9,18,25,31,15,81,6,6,3,3,21,50,28,0,0,9,43,31,12,3,0,21,12,34,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비씨카드(주),26,46,26,0,0,61,11,19,7,0,76,11,7,3,0,3,42,53,0,0,23,53,11,7,3,19,38,7,23,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리치앤코(주),17,48,21,12,0,34,27,21,6,10,63,17,6,8,4,17,44,36,2,0,8,55,8,14,12,2,27,12,17,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋대우(주),0,31,26,31,10,10,10,26,21,31,57,10,21,0,10,26,36,31,0,5,5,42,5,31,15,0,10,26,15,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국자산관리공사,12,64,24,0,0,36,28,20,12,4,84,4,4,4,4,12,36,48,4,0,20,60,12,8,0,4,60,20,4,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성증권(주),0,33,25,29,12,16,29,4,20,29,58,16,4,8,12,8,66,20,4,0,4,41,20,16,16,0,8,25,33,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
푸르덴셜생명보험(주),18,41,20,13,4,16,11,27,20,23,58,11,9,9,11,25,32,23,2,16,51,34,9,4,0,46,27,6,6,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성생명서비스손해사정(주),0,31,31,28,9,31,6,9,18,34,84,3,3,3,6,34,34,28,3,0,6,12,18,34,28,3,18,6,6,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성카드고객서비스(주),3,36,48,9,3,33,15,6,12,33,63,15,9,0,12,42,33,21,3,0,0,24,18,21,36,0,6,6,6,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국은행,33,46,20,0,0,60,26,6,0,6,93,6,0,0,0,46,26,26,0,0,6,46,20,13,13,0,26,13,20,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
키움증권(주),13,46,33,6,0,40,30,13,10,6,76,6,10,6,0,50,46,3,0,0,13,16,16,23,30,0,33,10,30,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울보증보험(주),0,47,47,5,0,23,11,23,17,23,70,5,11,5,5,23,52,23,0,0,11,58,11,11,5,5,11,23,35,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농업협동조합중앙회,6,55,24,10,3,37,27,10,10,13,72,20,6,0,0,31,37,24,3,3,0,31,27,24,17,0,0,13,31,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국주택금융공사,4,63,22,9,0,36,18,22,18,4,77,13,4,4,0,9,50,36,0,4,36,31,22,4,4,4,31,13,13,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대해상화재보험(주),5,35,25,30,5,20,20,30,10,20,65,20,10,5,0,20,50,30,0,0,5,30,20,25,20,0,15,20,10,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)케이비손해사정,5,35,47,5,5,58,11,0,0,29,76,0,11,5,5,17,35,47,0,0,0,23,29,11,35,0,17,5,5,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대신증권(주),0,30,38,15,15,15,23,7,23,30,61,0,30,7,0,53,38,7,0,0,0,53,7,15,23,0,7,30,23,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한카드(주),0,73,26,0,0,34,26,26,13,0,73,13,13,0,0,26,34,34,4,0,21,17,30,13,17,4,8,21,21,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신한금융투자(주),4,58,33,4,0,25,25,8,33,8,58,25,4,8,4,12,58,29,0,0,12,33,29,20,4,8,12,4,37,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오렌지라이프생명보험(주),26,0,20,20,33,26,6,6,20,40,46,6,6,6,33,46,13,26,6,6,33,20,26,20,0,20,26,20,20,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오케이저축은행(주),0,9,45,38,7,2,14,11,42,28,76,9,9,4,0,4,16,73,4,0,0,33,19,21,26,0,2,0,11,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍콩상하이은행서울지점,0,31,26,21,21,15,10,15,10,47,57,15,5,10,10,15,26,26,21,10,5,26,5,26,36,15,5,0,15,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(재)한국장학재단,7,53,30,7,0,46,30,7,7,7,61,30,7,0,0,30,53,15,0,0,15,46,15,0,23,15,23,7,7,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이나생명보험(주),26,30,17,17,8,17,13,8,39,21,69,17,13,0,0,17,34,34,13,0,4,47,13,26,8,17,34,4,34,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국수출입은행,15,68,15,0,0,42,36,15,5,0,100,0,0,0,0,31,47,21,0,0,15,42,21,15,5,10,52,5,15,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대하이라이프손해사정(주),0,23,38,30,7,0,23,15,7,53,84,0,0,0,15,15,38,38,7,0,0,7,7,23,61,7,7,7,46,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메트라이프생명보험(주),22,68,9,0,0,28,28,14,19,9,72,4,13,4,4,9,31,40,4,13,40,40,4,9,4,27,36,18,13,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대커머셜(주),0,4,63,27,4,9,0,36,18,36,81,9,9,0,0,9,31,50,9,0,0,31,18,31,18,0,18,4,13,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기술보증기금,4,52,38,0,4,4,33,19,38,4,57,19,9,4,9,23,47,23,0,4,14,66,4,14,0,14,28,28,4,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화손해보험(주),11,41,35,11,0,41,23,11,17,5,88,5,5,0,0,29,52,11,5,0,0,23,58,5,11,0,11,29,29,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국씨티은행(주),20,55,20,5,0,35,30,5,10,20,80,10,0,10,0,10,25,35,25,5,20,40,20,15,5,30,35,0,20,15
