이름,8시간 미만,8시간,9시간,10시간,11시간 이상,야근 없음,야근 1일 미만,야근 1일,야근 2일,야근 3일 이상,주말 근무 없음,주말 근무 1일 미만,주말 근무 1일,주말 근무 2일,주말 근무 3일 이상,휴가 0-7일,휴가 8-14일,휴가 15-21일,휴가 22-29일,휴가 30일 이상,업무일정 조정 자유,업무일정 조정 상황따라,업무일정 조정 눈치,업무일정 조정 제한적,업무일정 조정 어려움,원격 자유,원격 별도 신청,원격 눈치,원격 제한적,원격 어려움
(주)티몬,5,48,26,13,5,29,19,14,18,18,71,9,6,7,4,24,41,33,0,0,13,44,16,11,13,16,21,18,19,24
(주)위메프,7,52,24,11,4,28,18,17,18,18,75,9,7,3,4,10,42,44,1,0,16,40,15,12,16,17,9,11,24,37
삼성에스디에스(주),2,52,29,12,3,14,23,20,28,12,48,21,15,9,5,15,55,26,2,0,14,53,16,12,2,7,23,15,30,22
(주)엘지유플러스,8,47,23,14,5,33,25,10,11,18,42,13,10,10,23,23,29,40,5,1,18,43,17,10,10,16,25,21,16,21
(주)엘지씨엔에스,9,43,25,14,7,18,28,17,25,10,45,21,12,10,9,7,36,48,6,0,18,40,19,14,6,22,14,25,21,15
(주)케이티,10,47,32,7,1,28,23,19,20,9,64,13,6,7,6,6,20,69,3,0,13,48,21,12,4,4,39,26,11,18
네이버(주),12,45,24,12,6,21,13,16,28,19,60,13,9,9,6,31,43,21,2,0,24,42,13,12,7,40,21,11,15,10
롯데정보통신(주),4,57,23,10,3,17,25,23,20,12,54,24,12,4,4,10,28,53,5,0,12,47,18,16,5,12,16,13,23,33
(주)더존비즈온,4,34,25,21,13,17,12,10,24,34,52,16,12,11,7,20,34,43,0,0,3,26,24,23,21,5,5,11,16,61
(주)카카오,12,69,12,4,1,43,22,13,15,5,76,11,3,6,2,24,33,39,1,0,45,41,5,4,3,44,18,11,11,13
(주)엔씨소프트,4,40,33,13,7,15,17,20,25,20,62,17,8,4,6,15,38,44,0,1,13,44,18,19,3,14,35,18,16,14
케이티씨에스(주),6,74,9,8,0,55,13,9,14,6,47,8,12,24,7,39,42,17,0,0,12,25,12,21,28,1,15,5,19,57
에스케이플래닛(주),0,64,30,5,0,41,12,10,23,12,76,7,7,5,2,10,35,48,5,0,28,58,5,7,0,23,28,15,20,12
효성아이티엑스(주),9,53,28,3,5,46,17,11,11,13,53,10,11,6,16,46,36,16,0,0,10,28,19,17,24,8,16,9,16,48
카페24(주),5,45,28,13,6,21,13,19,23,21,69,10,12,4,3,8,48,32,8,2,19,41,14,11,12,36,19,10,16,17
씨제이올리브네트웍스(주),3,46,35,12,3,4,22,19,31,21,45,22,22,4,4,18,54,25,1,0,15,53,16,10,4,24,34,22,12,6
SK텔레콤(주),7,57,22,9,2,31,26,19,11,10,67,11,10,3,6,14,39,42,3,0,44,39,10,3,1,55,19,19,3,1
