id,name,score,n,benefit_pay,balance,culture,promotion,boarder,recommend,CEO_support,potential
50695,(주)티몬,2.8,2066,2.5,3.1,3.3,2.5,2.2,32,30,13
60632,(주)위메프,2.6,2057,2.4,2.7,2.8,2.7,2,23,28,14
30162,삼성에스디에스(주),3.5,1838,3.9,3.4,3.4,3.3,2.7,65,41,30
63857,(주)엘지유플러스,3.2,1802,3.2,3.2,3.2,2.9,2.7,51,55,28
63859,(주)엘지씨엔에스,3.1,1790,2.8,3.1,3.7,3.1,2.4,48,32,18
53191,(주)케이티,3.1,1717,2.9,3.6,3.1,2.8,2.4,49,37,18
42217,네이버(주),3.9,1417,4,3.5,3.8,3.5,3.2,83,67,58
35657,롯데정보통신(주),2.7,1113,2.5,3,2.6,2.7,2.2,29,33,12
81407,(주)더존비즈온,2.3,1108,2.2,2.3,2.2,2.6,1.8,22,21,29
93880,(주)카카오,3.8,1016,3.5,4.3,4.1,3.2,3,81,57,54
64418,(주)엔씨소프트,3.6,970,4,3.4,3.3,2.9,2.8,71,70,32
53174,케이티씨에스(주),2.7,954,2.5,3.1,2.7,2.4,2.4,23,36,6
20564,에스케이플래닛(주),3.5,949,3.9,3.9,3.8,2.8,2.6,59,45,18
285,효성아이티엑스(주),2.8,935,2.5,3.1,2.8,2.5,2.4,29,41,10
23717,카페24(주),3.5,172,3.5,4,3.3,3,3,67,72,36
94863,씨제이올리브네트웍스(주),2.9,906,3.1,2.8,2.8,2.8,2.5,38,52,22
20575,SK텔레콤(주),4,894,4.4,3.9,3.9,3.3,3.3,81,68,34
88549,요기요,3,877,2.9,3.4,3.3,2.8,2.7,41,51,29
67099,(주)안랩,3.5,865,2.8,3.8,3.7,3.3,2.6,62,52,19
83498,(주)넥슨코리아,3.7,861,3.6,3.6,3.8,3.2,2.9,75,59,37
74164,(주)사람인에이치알,3,831,2.7,3,3,2.8,2.5,42,47,35
89637,(주)야놀자,2.8,829,2.9,2.8,2.9,2.7,2.4,38,54,43
3386,한국아이비엠(주),3.1,806,2.5,3.2,3.5,3.1,2.5,49,49,12
96821,(주)인라이플,2.9,788,3,3,2.5,3.2,2,57,58,59
50992,(주)티맥스소프트,2.8,706,3.2,2.5,2.9,2.9,1.9,37,27,22
53178,(주)케이티스,2.6,672,2.7,2.8,2.6,2.5,2.2,18,29,7
7468,(주)케이티알파,2.8,654,2.5,3.7,3.2,2.1,2.2,32,33,14
76814,미라콤아이앤씨(주),2.9,633,3.3,3.8,3,2.7,2.1,42,39,9
57685,인피닉(주),2.1,612,1.7,2.6,2.4,2.1,1.9,10,23,7
88463,엔에이치엔(주),3.4,606,3.5,3.6,3.6,3.1,2.8,61,55,26
52955,(주)코리아센터,2.6,589,2.4,3.2,2.5,2.6,2,32,32,20
61420,(주)우아한형제들,3.6,586,3.8,3.3,3.9,3.3,3.4,72,78,59
53189,(주)케이티디에스,2.9,580,2.8,3.1,3,2.8,2.2,37,33,14
1306,현대오토에버(주),3.5,563,3.6,3.7,3.3,2.9,2.6,64,29,29
89255,라인플러스(주),3.7,519,4,3.2,3.7,3.2,2.9,76,64,42
59375,(주)이글루코퍼레이션,2.7,516,2.3,2.7,2.5,2.8,2.1,29,30,9
69740,(주)신한디에스,2.6,503,2.4,2.7,2.4,2.6,2,25,31,15
20613,에스케이(주),3.6,501,3.5,3.7,3.8,3.2,2.8,65,61,29
78090,(주)마이다스아이티,3.3,497,3.8,2.4,3.1,3.5,2.7,58,51,37
86877,넥슨네트웍스(주),2.9,493,2.5,3.2,3.7,2.6,2.6,36,46,13
82790,(주)다우기술,3.4,487,3.3,3.4,3.3,3.2,2.8,63,54,31
90944,콘센트릭스서비스코리아(유),2.5,483,2.3,2.7,2.5,2.6,2,25,30,20
19566,엘에스산전(주),3.5,480,3,3.9,3.4,3,2.9,67,58,28
91387,(주)커리어넷,2.6,460,2.1,2.7,2.7,2.6,2.1,31,31,14
42722,나이스평가정보(주),3.4,457,3.6,3.6,3.2,2.5,2.6,58,47,32
57278,잡코리아(유),3.2,460,3,3.7,3.4,2.7,2.4,49,37,22
2065,한전케이디엔(주),3.3,453,3.1,3.5,3.1,3,2.8,57,57,27
5406,팅크웨어(주),2.8,445,2.1,3,2.8,2.7,2.2,25,41,9
50946,티시스(주),2.4,434,2.1,2.9,2.4,2.6,2,25,25,9
19363,에스케이엠앤서비스(주),2.9,432,2.4,3.5,3.1,2.6,2.5,34,48,13
60656,여기어때,2.9,422,3,3.2,3.1,2.7,2.4,42,46,32
61852,(주)와이즈스톤,2,421,1.5,2.5,2.4,2.3,1.8,11,22,8
78633,(주)롯데닷컴,3.1,416,2.7,3.2,3.4,2.6,2.7,41,46,15
90398,휴넷(주),3.4,44,3.3,3.5,3.3,3.2,3,52,68,41
19802,엔테크서비스(주),3.6,400,3.2,3.9,4,3.3,3.1,68,58,21
53778,(주)컴투스,3.1,395,2.9,3.3,3.2,2.9,2.5,50,41,22
56807,제로웹(주),2,389,1.7,1.9,2.4,2.6,1.8,14,26,19
83745,(주)네오위즈,3.3,387,3,3.7,3.6,2.9,2.7,54,54,19
20582,에스케이커뮤니케이션즈(주),3.1,387,2.8,3.8,3.7,2.7,2,24,28,4
67447,(주)아이파트너즈,2.4,371,1.7,3.1,2.2,2.5,2,27,23,8
34778,메가존(주),2.7,369,2.2,2.4,2.4,2.7,2.4,28,56,31
82999,(주)다나와,3.2,367,2.7,4,3,2.7,2.6,52,47,17
13637,(주)현대이지웰,2.4,367,2.2,2.9,2.7,2.2,1.9,27,23,22
9814,지오시스(유),2.2,367,1.7,2.6,2.2,2.4,1.7,15,19,15
67144,(주)아프리카티비,2.7,364,2.7,2.7,2.6,2.7,2.3,31,43,27
55388,(주)지에스아이티엠,2.6,362,2.1,2.9,2.5,2.6,2.1,22,35,14
78185,(주)링크프라이스,2.5,359,2.6,2.3,2.6,2.7,2.3,16,35,17
60502,(주)윈스,2.9,350,2.9,3.4,2.9,2.8,2.4,44,46,13
70072,신세계아이앤씨(주),2.9,350,3.4,2.9,2.6,2.4,2.5,37,51,19
332116,(주)써머스플랫폼,2.5,323,2.1,3.2,2.7,2.5,2.1,23,33,10
53227,케이지이니시스(주),2.1,339,1.8,2.6,2.3,2.2,1.7,21,25,23
58813,이씨이십일(주),2.4,333,1.9,2,2.7,2.8,2.2,22,32,13
311092,(주)브랜디,2.9,91,2.6,2.8,2.8,2.7,2.6,32,56,42
58863,(주)이스트소프트,3.3,329,2.9,3.6,3.3,3.2,2.7,52,47,18
7419,코나아이(주),2.3,329,2.3,2.2,2.2,2.6,1.8,18,34,23
50126,(주)포스코아이씨티,3,327,2.7,3.4,3.1,3,2.2,43,36,14
62227,오픈타이드코리아(주),2.7,322,3.3,3.1,2.5,2.7,1.9,32,30,16
68097,(주)아이뱅크,2.4,320,1.8,2.9,2.6,2.7,2,27,26,9
88341,씨엔티테크(주),2.6,318,2.3,2.8,2.6,2.6,2.4,27,45,19
42195,에스케이오앤에스(주),2.9,314,2.8,2.9,3,2.5,2.6,40,44,33
87215,(주)엠서클,2.4,314,2.5,2.9,2.5,2.1,1.9,24,16,15
90036,(주)미디어로그,2.9,311,2.8,3.4,2.8,2.7,2.3,42,33,14
81246,데이터스트림즈(주),1.7,312,1.5,1.8,1.7,1.8,1.5,12,13,8
3277,한국오라클(유),3.2,310,2.8,4,3.3,2.7,2.4,58,33,22
42796,나비스오토모티브시스템즈(주),2.4,308,3.2,1.6,2.6,2.2,2,24,36,22
18046,예스이십사(주),2.6,308,2.2,3.3,2.5,2.2,2,26,23,8
8893,(주)직방,3.1,298,3,3.4,2.9,2.9,2.8,45,61,43
20626,에스케이브로드밴드(주),3.4,295,3.6,3.6,3.4,2.8,2.8,56,50,24
21282,어니컴(주),2.2,292,1.8,2.6,2.2,2.4,1.9,13,25,5
60745,(주)웹젠,2.8,290,2.4,3.3,3,2.7,2.4,35,40,12
88675,인크루트알바콜(주),2.6,287,2.1,3.3,3.2,2.4,2.3,30,39,10
48511,(주)한글과컴퓨터,2.5,287,2.6,3.1,2.6,2.6,1.8,26,18,13
89015,한국지능정보사회진흥원,3.4,287,3.1,3.5,3.4,3.1,2.8,63,53,21
55808,줌인터넷(주),2.7,283,2.6,3.5,2.8,2.7,2,32,29,11
69467,(주)써스포,2.5,281,2,2.6,2.7,3.3,2.3,37,47,20
58317,(주)이카운트,2.8,281,3.5,2.6,2.8,2.7,2.4,34,46,33
21473,메타넷글로벌(유),3,279,2.7,2.1,3,3.3,2.6,40,38,22
309987,옐로오투오(주),2.1,279,1.9,2.2,2.5,2.4,1.9,14,23,11
86734,(주)펜타브리드,2.8,278,2.3,2.6,3.3,2.7,2.3,35,41,14
60634,(주)위메이드,2.4,276,2.6,2.4,2.5,2.4,1.8,21,23,11
86979,(주)디지털다임,2.7,273,2.2,3,2.7,2.7,2.3,32,56,12
85569,엔에이치엔커머스(주),2.6,272,2.7,3.3,2.6,2.6,2.2,32,41,18
90763,(주)와이드넷엔지니어링,2.4,270,2,3,2.5,2.6,2.2,20,33,3
42215,네이버시스템(주),2.5,269,2,2.7,2.7,2.8,2.2,25,33,11
67445,(주)아이패밀리에스씨,2.9,268,2.6,2.7,2.8,3.4,2.8,,,
7150,코오롱베니트(주),3.1,268,3.2,3.3,3,2.9,2.4,44,39,11
58388,(주)이지서티,3.9,37,3.5,3.8,3.9,4,3.7,,,
57709,(주)폴라리스오피스,3.1,263,3,3.2,3.2,2.9,2.1,33,23,10
92098,테스트이앤씨(주),2.5,262,2,2.7,2.5,2.5,2.3,16,34,5
85411,(주)골프존,3.2,260,3.6,3.7,3.1,2.8,2.4,49,51,20
75012,블루버드(주),2.6,258,2.6,2.2,2.4,2.7,2.2,29,43,18
82715,다음커뮤니케이션(주),3.6,257,3.1,3.7,3.8,3.2,2.8,73,68,45
321646,베스핀글로벌(주),2.7,257,2.3,3,2.7,2.7,2.2,35,57,32
68036,(주)아이비케이시스템,3,255,2.8,3.2,2.8,3,2.2,38,32,15
50599,(주)파수,3.2,251,3.1,3.5,3.3,3.2,2.3,48,38,16
4652,퓨렌스(주),2.8,251,3,2.5,3,3.1,2.6,43,43,35
89929,(주)코그,3.9,250,4,3.3,4,3.8,3.6,64,71,43
51319,(주)토마토시스템,2.9,249,2.6,2.4,2.7,3.2,2.5,41,54,24
206538,(주)오토소프트,2.1,248,1.8,3.5,2.4,1.9,1.9,10,22,5
68135,(주)드림어스컴퍼니,2.7,249,2.2,3.4,2.9,2.5,2.2,33,40,20
1315,현대엠엔소프트(주),2.9,247,3.3,2.5,2.7,2.8,2.3,36,45,27
91388,(주)제이슨그룹,2,246,2,2.6,1.8,2,1.8,17,28,17
88165,한국아이비엠테크니컬솔루션(유),2.7,246,1.9,3,3.1,2.9,2.1,27,26,7
66878,(주)알티캐스트,3.3,241,3.2,3.4,3.6,3,2.4,42,30,22
55407,(주)지어소프트,2.4,241,2.2,2.3,2.4,2.8,2,20,28,11
19441,(주)한컴엠디에스,3,240,2.7,3.5,3.2,3,2.4,45,34,22
53244,케이지모빌리언스(주),1.7,240,1.5,2.8,2,1.9,1.3,8,12,5
92264,(주)코이스,1.9,238,2.7,1.8,1.6,2.2,1.6,15,16,11
39530,대우정보시스템(주),2.7,237,2.2,2.4,2.6,2.8,2.1,24,30,13
3627,한국마이크로소프트(유),3.6,237,3.7,3.6,3.4,3.1,3,68,66,45
87161,(주)애드캡슐소프트,2.4,235,2.1,2.3,2.4,2.8,1.9,21,23,7
25501,슈어소프트테크(주),3,234,2.8,3.5,3.2,3.3,2.6,47,52,42
23640,쌍용정보통신(주),2.5,233,2.1,2.5,2.5,2.8,2,21,29,8
64495,엔디에스(주),2.5,231,2.1,2.9,2.5,2.6,2,25,27,9
19595,인베니아(주),2.9,233,2.8,2.7,2.9,2.9,2.4,29,38,24
37923,(주)디비아이엔씨,2.7,231,2.7,3.2,2.7,2.6,2.2,32,31,8
68399,(주)아사달,2.5,229,2.1,2.5,2.3,2.3,2.1,19,28,17
91850,유빈스(주),2.5,229,2,3.1,2.7,2.1,2.1,23,28,7
5099,페이레터(주),2.4,228,2.5,2.2,2.4,2.6,2,26,26,11
85782,게임빌(주),2.7,226,2.6,2.7,2.8,2.5,2.2,33,36,10
92170,(주)위민,3.3,222,3.3,2.9,3.7,3.3,3.4,48,66,44
56008,(주)조이시티,3.1,222,2.8,3,3.2,2.9,2.5,42,44,15
86149,가비아(주),3.4,222,3.6,4,3.4,3.1,3,66,67,28
53074,코난테크놀로지(주),2.5,222,2.2,3.4,2.5,2.6,1.9,23,26,8
87230,(주)연합뉴스,3.4,221,3.5,3.6,3,2.5,2.5,62,42,12
63920,(주)키위컴퍼니,2.2,220,2,1.9,2.1,2.3,1.8,15,31,15
70951,(주)스마일게이트엔터테인먼트,3.4,219,3.7,3.2,3.2,3,2.6,59,52,31
82997,다날(주),3.1,220,2.8,3.6,3.1,3,2.5,43,50,19
21724,알서포트(주),3,219,2.6,3.3,3,2.9,2.3,46,44,24
53285,케이원정보통신(주),2.1,219,1.7,2.7,2.2,2.1,1.9,11,14,7
13629,이지케어텍(주),3,218,3,2.5,2.7,3,2.7,45,66,34
87371,(주)컴파트너스,2.3,218,2.2,3,2.5,2.2,2.1,18,33,8
86890,디케이서비스(주),2.5,216,1.9,3.7,3.4,2.3,2.4,22,41,15
89257,(주)위즈그룹,1.6,215,1.3,1.6,1.7,2.1,1.3,6,7,3
20556,에스코어(주),3.2,215,3.2,3.4,3.2,3,2.6,47,49,20
20021,에임시스템(주),2.9,215,2.9,2.9,2.9,3.1,2.2,31,34,11
350836,(주)우리요,3.7,214,3.9,4.4,4,4.1,4,87,88,86
309507,(주)비바리퍼블리카,3.5,213,4.2,2.2,3.3,3.5,3.3,56,76,67
74312,(주)비트컴퓨터,2.3,212,1.9,2.5,2.4,2.4,2,17,28,9
52521,(주)콤텍시스템,2.9,212,2.4,2.8,2.7,2.9,2.3,37,38,17
83345,(주)녹십자헬스케어,2.1,213,2,2.8,2.2,2.1,1.9,29,25,23
25446,더핑크퐁컴퍼니(주),2.7,211,2.8,2.9,3,2.7,2.2,40,40,37
74946,(주)크래프톤,3.4,210,3.4,3,3.6,3.1,3,61,57,39
87795,대보정보통신(주),2.4,206,2,2.6,2,2.3,1.9,18,23,7
85051,(주)그라비티,2.4,204,2.5,3.4,2.3,2.1,1.8,20,12,6
