id,name,score,n_x,benefit_pay,balance,culture,promotion,boarder,recommend,CEO_support,potential,n_y,notice_amount
44440,국민건강보험공단,3.9,2060,3.2,4.4,4.1,3.4,3.3,82,66,34,15663,6002633900
89935,새마을금고,2.4,1562,2.6,2.9,1.9,2.3,1.8,17,17,6,,
43917,근로복지공단,3.3,1510,2.6,4,3.7,3.2,2.8,56,51,20,5801,1885106520
41466,농협은행(주),3.6,1235,3.9,3.7,3.1,3.1,2.9,72,58,27,16944,7128291060
1227,현대카드(주),3,1200,3.3,3.1,3.2,2.5,2.5,42,49,17,1943,731823640
55770,중소기업은행,3.8,1195,4,3.8,3.6,3.4,3.3,79,69,34,12795,5627901360
1225,현대캐피탈(주),3.1,934,3.6,3.3,3.2,2.1,2.6,48,55,23,2100,825974200
44434,국민연금공단,3.9,906,3.3,4.5,4.1,3.4,3.2,82,62,24,5906,2353528380
44434,국민연금공단,3.9,906,3.3,4.5,4.1,3.4,3.2,82,62,24,1403,289160780
85166,국민은행(주),3.7,892,4.2,3.3,3.3,3.2,3,70,62,27,16100,7043320140
30195,삼성생명보험(주),2.9,885,3.4,2.6,2.8,2.9,2.5,32,47,21,5299,2420161660
69720,신한은행(주),3.3,811,4,2.8,2.8,3.1,2.8,51,52,35,13083,5763795920
61592,우리은행(주),3.2,751,3.8,3,2.7,3.1,2.6,50,48,19,12883,5748525040
24387,신용보증기금,4,698,4.1,4,3.6,3.6,3.4,84,78,31,3032,1239844680
48758,한국스탠다드차타드은행(주),3,637,3,3.3,3.1,2.8,2.5,46,43,10,3534,1519226100
1987,한화생명보험(주),2.9,636,3.2,2.9,2.8,2.8,2.4,34,39,15,2509,1122469860
49203,하나은행(주),3.1,607,3.4,2.9,2.9,2.8,2.6,43,40,28,11152,4994612380
30056,삼성화재해상보험(주),3.4,578,3.9,2.9,3.1,3.1,2.8,57,54,36,5638,2506474480
37902,DB손해보험(주),3,576,3.4,2.5,2.5,3,2.6,40,52,35,4501,1788058200
198809,웰컴저축은행(주),2.3,497,2.5,2.1,2.1,2.8,2.2,25,45,41,743,265151400
44594,교보생명보험(주),3,455,3.1,3,2.9,2.5,2.6,42,52,18,3686,1599797000
